product_slug,expected_category,attribute_taxonomy,attribute_value,actual_category_id,created_product_id,baseline_product_id,persisted_product_id,baseline_variation_id,persisted_variation_id,expected_sku,actual_sku,expected_regular_price,actual_regular_price,expected_sale_price,actual_sale_price,expected_stock,actual_stock,expected_stock_status,actual_stock_status,expected_weight,actual_weight,expected_length,actual_length,expected_width,actual_width,expected_height,actual_height,expected_heat,actual_heat,expected_product_image_path,actual_product_image_id,expected_variation_image_path,actual_variation_image_id,expected_tax_class,actual_tax_class,expected_shipping_class,actual_shipping_class,status
jerk-seasoning,Seasonings,pa_size-packaging,"10 oz - Jar",16,47,NOT_SUPPLIED,47,NOT_SUPPLIED,24,852301-IZE-JS-10OZ-JAR,852301-IZE-JS-10OZ-JAR,900,900,900,,0,0,outofstock,outofstock,0,,0,,0,,0,,hot,hot,17,17,17,17,standard,standard,standard,standard,PASS
jerk-seasoning,Seasonings,pa_size-packaging,"18 oz - Bottle",16,47,NOT_SUPPLIED,47,NOT_SUPPLIED,25,852301-IZE-JS-18OZ-BOTTLE,852301-IZE-JS-18OZ-BOTTLE,1400,1400,1400,,0,0,outofstock,outofstock,0,,0,,0,,0,,hot,hot,17,17,17,17,standard,standard,standard,standard,PASS
jerk-seasoning,Seasonings,pa_size-packaging,"1 Gallon - Bulk",16,47,NOT_SUPPLIED,47,NOT_SUPPLIED,26,852301-IZE-JS-1GAL-BULK,852301-IZE-JS-1GAL-BULK,6500,6500,6500,,0,0,outofstock,outofstock,0,,0,,0,,0,,hot,hot,17,17,17,17,standard,standard,standard,standard,PASS
jerk-bbq-sauce,Sauces,pa_size-packaging,"80 ml - Sachet",20,48,NOT_SUPPLIED,48,NOT_SUPPLIED,28,273939-IZE-JB-80ML-SACHET,273939-IZE-JB-80ML-SACHET,150,150,150,,0,0,outofstock,outofstock,0,,0,,0,,0,,medium,medium,18,18,18,18,standard,standard,standard,standard,PASS
jerk-bbq-sauce,Sauces,pa_size-packaging,"5 oz - Bottle",20,48,NOT_SUPPLIED,48,NOT_SUPPLIED,29,273939-IZE-JB-5OZ-BOTTLE,273939-IZE-JB-5OZ-BOTTLE,500,500,500,,0,0,outofstock,outofstock,0,,0,,0,,0,,medium,medium,18,18,18,18,standard,standard,standard,standard,PASS
jerk-bbq-sauce,Sauces,pa_size-packaging,"18 oz - Bottle",20,48,NOT_SUPPLIED,48,NOT_SUPPLIED,30,273939-IZE-JB-18OZ-BOTTLE,273939-IZE-JB-18OZ-BOTTLE,1500,1500,1500,,0,0,outofstock,outofstock,0,,0,,0,,0,,medium,medium,18,18,18,18,standard,standard,standard,standard,PASS
mango-salsa,Sauces,pa_size-packaging,"80 ml - Sachet",20,49,NOT_SUPPLIED,49,NOT_SUPPLIED,32,307559-IZE-MS2-80ML-SACHET,307559-IZE-MS2-80ML-SACHET,140,140,140,,0,0,outofstock,outofstock,0,,0,,0,,0,,mild,mild,19,19,19,19,standard,standard,standard,standard,PASS
mango-salsa,Sauces,pa_size-packaging,"10 oz - Jar",20,49,NOT_SUPPLIED,49,NOT_SUPPLIED,33,307559-IZE-MS2-10OZ-JAR,307559-IZE-MS2-10OZ-JAR,850,850,850,,0,0,outofstock,outofstock,0,,0,,0,,0,,mild,mild,19,19,19,19,standard,standard,standard,standard,PASS
mango-salsa,Sauces,pa_size-packaging,"1 Gallon - Bulk",20,49,NOT_SUPPLIED,49,NOT_SUPPLIED,34,307559-IZE-MS2-1GAL-BULK,307559-IZE-MS2-1GAL-BULK,6000,6000,6000,,0,0,outofstock,outofstock,0,,0,,0,,0,,mild,mild,19,19,19,19,standard,standard,standard,standard,PASS
spicy-mango-salsa,Sauces,pa_size-packaging,"80 ml - Sachet",20,50,NOT_SUPPLIED,50,NOT_SUPPLIED,36,521771-IZE-MS3-80ML-SACHET,521771-IZE-MS3-80ML-SACHET,150,150,150,,0,0,outofstock,outofstock,0,,0,,0,,0,,medium,medium,20,20,20,20,standard,standard,standard,standard,PASS
spicy-mango-salsa,Sauces,pa_size-packaging,"10 oz - Jar",20,50,NOT_SUPPLIED,50,NOT_SUPPLIED,37,521771-IZE-MS3-10OZ-JAR,521771-IZE-MS3-10OZ-JAR,900,900,900,,0,0,outofstock,outofstock,0,,0,,0,,0,,medium,medium,20,20,20,20,standard,standard,standard,standard,PASS
spicy-mango-salsa,Sauces,pa_size-packaging,"1 Gallon - Bulk",20,50,NOT_SUPPLIED,50,NOT_SUPPLIED,38,521771-IZE-MS3-1GAL-BULK,521771-IZE-MS3-1GAL-BULK,6200,6200,6200,,0,0,outofstock,outofstock,0,,0,,0,,0,,medium,medium,20,20,20,20,standard,standard,standard,standard,PASS
sorrel-pepper-sauce,Sauces,pa_size-packaging,"5 oz - Bottle",20,51,NOT_SUPPLIED,51,NOT_SUPPLIED,40,162776-IZE-SP-5OZ-BOTTLE,162776-IZE-SP-5OZ-BOTTLE,500,500,500,,0,0,outofstock,outofstock,0,,0,,0,,0,,hot,hot,21,21,21,21,standard,standard,standard,standard,PASS
sorrel-pepper-sauce,Sauces,pa_size-packaging,"18 oz - Bottle",20,51,NOT_SUPPLIED,51,NOT_SUPPLIED,41,162776-IZE-SP-18OZ-BOTTLE,162776-IZE-SP-18OZ-BOTTLE,1400,1400,1400,,0,0,outofstock,outofstock,0,,0,,0,,0,,hot,hot,21,21,21,21,standard,standard,standard,standard,PASS
sorrel-pepper-sauce,Sauces,pa_size-packaging,"80 ml - Sachet",20,51,NOT_SUPPLIED,51,NOT_SUPPLIED,42,162776-IZE-SP-80ML-SACHET,162776-IZE-SP-80ML-SACHET,150,150,150,,0,0,outofstock,outofstock,0,,0,,0,,0,,hot,hot,21,21,21,21,standard,standard,standard,standard,PASS
crushed-pepper-sauce,Sauces,pa_size-packaging,"5 oz - Bottle",20,52,NOT_SUPPLIED,52,NOT_SUPPLIED,44,IZ2434678-5OZ-BOTTLE,IZ2434678-5OZ-BOTTLE,450,450,450,,0,0,outofstock,outofstock,0,,0,,0,,0,,hot,hot,22,22,22,22,standard,standard,standard,standard,PASS
crushed-pepper-sauce,Sauces,pa_size-packaging,"18 oz - Bottle",20,52,NOT_SUPPLIED,52,NOT_SUPPLIED,45,IZ2434678-18OZ-BOTTLE,IZ2434678-18OZ-BOTTLE,1300,1300,1300,,0,0,outofstock,outofstock,0,,0,,0,,0,,hot,hot,22,22,22,22,standard,standard,standard,standard,PASS
crushed-pepper-sauce,Sauces,pa_size-packaging,"80 ml - Sachet",20,52,NOT_SUPPLIED,52,NOT_SUPPLIED,46,IZ2434678-80ML-SACHET,IZ2434678-80ML-SACHET,150,150,150,,0,0,outofstock,outofstock,0,,0,,0,,0,,hot,hot,22,22,22,22,standard,standard,standard,standard,PASS
